date,Undetected,Positives
2021-06-22,6887.35621372174,75718.86423857183
2021-06-23,6495.798178367666,72464.27994668174
2021-06-24,6123.3054599203715,69335.66927255425
2021-06-25,5768.983689085266,66328.60783707733
2021-06-26,5471.301313453344,63502.21432038878
2021-06-27,5414.314987289613,61167.562227157825
2021-06-28,5587.792598753125,59319.0315919852
2021-06-29,5969.0674924178575,57919.21944192901
2021-06-30,6368.472702740068,56667.88132341007
2021-07-01,6786.227594080813,55561.407048239
2021-07-02,7222.292406428854,54596.12497467341
2021-07-03,7676.616720596383,53768.50191022509
2021-07-04,8149.655812485973,53075.69733781388
2021-07-05,8643.189007072413,52516.48827929104
2021-07-06,9156.86949756715,52087.801745941586
2021-07-07,9689.873869394798,51786.089100900455
2021-07-08,10242.180568433809,51608.68740660446
2021-07-09,10813.215547575286,51552.46071250095
2021-07-10,11402.55119316433,51614.47492133951
2021-07-11,12039.422866626235,51875.52697072574
2021-07-12,12883.955071872435,52769.16669726721
2021-07-13,13971.011341986314,54344.420288512
2021-07-14,15311.483339949264,56585.67186701943
2021-07-15,16758.663562171212,59088.94267175559
2021-07-16,18319.65323060635,61871.00896222598
2021-07-17,20002.434520342213,64950.34617702103
2021-07-18,21816.322062435444,68347.60768290819
2021-07-19,23773.05421919201,72086.92815326873
2021-07-20,25879.876978834527,76188.97214500631
2021-07-21,28143.986475553877,80674.93510248388
2021-07-22,30575.066804656453,85569.53337508379
2021-07-23,33183.891037514935,90899.71511180776
2021-07-24,35980.97691702974,96693.13680337857
2021-07-25,38977.851021708615,102979.46306209674
2021-07-26,42032.09803157524,109616.03912566493
2021-07-27,44263.937403594704,115558.72771402741
2021-07-28,45527.69564532765,120533.82600167561
2021-07-29,45918.372779883415,124520.76869855219
2021-07-30,46284.50241886492,128431.30550853888
2021-07-31,46625.47696195235,132263.14083784624
2021-08-01,46943.028705002325,136016.4286459743
2021-08-02,47239.240058874886,139691.95399883328
2021-08-03,47509.88654018215,143284.127995987
2021-08-04,47752.415901195534,146788.46857915015
2021-08-05,47965.45904084381,150201.58536794412
2021-08-06,48146.99818836194,153519.26513591505
2021-08-07,48295.65047323173,156737.8553996758
2021-08-08,48415.164247064575,159859.00169042317
2021-08-09,48512.393051507424,162888.36241996396
2021-08-10,48581.84441346444,165819.53150052959
2021-08-11,48648.88710091395,168592.31702179668
2021-08-12,48861.37844370356,170952.0049609487
2021-08-13,49217.92645067169,172914.97608710924
2021-08-14,49689.320190701575,174562.93082203975
2021-08-15,50130.986639791,176188.64281222463
2021-08-16,50550.175100909604,177796.03804971816
2021-08-17,50942.38598869028,179377.74605508166
2021-08-18,51303.4100207331,180925.85925446457
2021-08-19,51630.925799430246,182434.2553242545
2021-08-20,51923.658657851476,183897.80111799107
2021-08-21,52181.00587461081,185312.15409529465
2021-08-22,52407.067152701755,186677.87223749625
2021-08-23,52608.813850243234,187999.19997844446
2021-08-24,52780.201487802144,189267.77494163878
2021-08-25,52917.45926133674,190476.70758062406
2021-08-26,52957.70740116013,191506.1418267583
2021-08-27,52584.11384981611,191742.8104483179
2021-08-28,51811.48604282722,191164.95400469654
2021-08-29,50730.443047901266,189887.92270839555
2021-08-30,49665.45667572192,188504.10248638285
2021-08-31,48609.8502961743,187014.4169768456
2021-09-01,47559.4039497039,185420.80637206693
2021-09-02,46514.01325156434,183728.93947962712
2021-09-03,45475.04725804153,181945.69816293445
2021-09-04,44444.31726213711,180078.2965027083
2021-09-05,43425.5545476165,178135.942246352
2021-09-06,42422.473394335066,176128.11755554436
2021-09-07,41429.02910664765,174054.21854774773
2021-09-08,40442.97992400499,171916.3966776202
2021-09-09,39465.45066421337,169720.0531698543
2021-09-10,38497.564363737525,167470.58580581177
2021-09-11,37549.18616063312,165158.06110747324
2021-09-12,36665.649541451516,162721.70634898203
2021-09-13,35845.88272489862,160180.67955297107
2021-09-14,35073.207980484076,157560.73845182805
2021-09-15,34302.16107923353,154939.3787982605
2021-09-16,33534.22903710533,152318.60764780603
2021-09-17,32770.89190605166,149700.60535579268
2021-09-18,32013.16901038617,147087.1815309489
2021-09-19,31263.038475406884,144481.268272156
2021-09-20,30523.61434637137,141887.22923630217
2021-09-21,29793.005553296553,139304.48030670077
2021-09-22,29070.28416623805,136732.9716876977
2021-09-23,28356.16343571937,134174.28228019166
2021-09-24,27651.14417869645,131629.77910882543
2021-09-25,26955.595101274812,129100.79858062541
2021-09-26,26290.69174481025,126646.96554072356
2021-09-27,25754.190268544557,124554.65712595283
2021-09-28,25337.111113687577,122812.38420391656
2021-09-29,25013.82704797199,121356.5380618251
2021-09-30,24687.772014293358,119907.56878249596
2021-10-01,24359.516293808952,118465.35309651864
2021-10-02,24029.008645865895,117029.19405055372
2021-10-03,23696.065746203356,115598.3029614392
2021-10-04,23362.433775635986,114173.94834117395
2021-10-05,23027.029158629586,112754.71188092958
2021-10-06,22689.02069829225,111339.20738337479
2021-10-07,22348.65658148224,109927.09373499066
2021-10-08,22006.420137116653,108518.33096186965
2021-10-09,21662.5466144271,107112.72808293918
2021-10-10,21317.62622709119,105710.47002889805
